CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
9bac18b16d22   dev-peer0.org1.example.com-simple-v0      0.00%     5.859MiB / 2GiB       0.29%     4.62kB / 2.71kB   0B / 0B           7
14cc3d1d7938   dev-peer0.org1.example.com-drm-v0         0.00%     5.938MiB / 2GiB       0.29%     4.57kB / 2.61kB   0B / 0B           7
a988b9699b02   dev-peer0.org2.example.com-drm-v0         0.00%     5.902MiB / 2GiB       0.29%     4.71kB / 2.74kB   0B / 0B           6
0dfe6abd1560   dev-peer0.org1.example.com-marbles-v0     0.00%     6.316MiB / 2GiB       0.31%     471kB / 226kB     0B / 0B           7
d4f36d3a3568   dev-peer0.org2.example.com-marbles-v0     0.00%     6.391MiB / 2GiB       0.31%     463kB / 226kB     0B / 0B           7
2107d2f58c8f   peer0.org2.example.com                    1.09%     170.5MiB / 7.761GiB   2.15%     2.04MB / 1.28MB   766kB / 1.66MB    13
3712cedc8005   peer0.org1.example.com                    1.21%     151.5MiB / 7.761GiB   1.91%     2.09MB / 1.94MB   29.7MB / 1.66MB   13
311c54469bf3   orderer0.example.com                      0.05%     24.84MiB / 7.761GiB   0.31%     1.14MB / 2.17MB   23.9MB / 2.37MB   11
2740b3ae91f1   couchdb.peer0.org2.example.com            0.85%     48.03MiB / 7.761GiB   0.60%     302kB / 323kB     4.77MB / 2.54MB   41
a10b4c8e3b3d   ca.org1.example.com                       0.00%     8.582MiB / 7.761GiB   0.11%     3.26kB / 5.89kB   631kB / 446kB     7
3bcdda778f36   couchdb.peer0.org1.example.com            0.85%     65.39MiB / 7.761GiB   0.82%     302kB / 325kB     26.2MB / 2.54MB   41
38cb3dc19b01   ca.org2.example.com                       0.00%     8.906MiB / 7.761GiB   0.11%     3.59kB / 5.91kB   19.5MB / 446kB    8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
ad8921bcc761   dev-peer0.org1.example.com-smallbank-v0   0.00%     6.094MiB / 2GiB       0.30%     3.95kB / 2.25kB   0B / 0B           7
2acdc7440876   dev-peer0.org2.example.com-smallbank-v0   0.00%     6.715MiB / 2GiB       0.33%     3.95kB / 2.25kB   0B / 0B           6
34414dc16213   dev-peer0.org2.example.com-simple-v0      0.00%     5.879MiB / 2GiB       0.29%     4.51kB / 2.53kB   0B / 0B           7
9bac18b16d22   dev-peer0.org1.example.com-simple-v0      0.00%     5.859MiB / 2GiB       0.29%     4.62kB / 2.71kB   0B / 0B           7
14cc3d1d7938   dev-peer0.org1.example.com-drm-v0         0.00%     5.938MiB / 2GiB       0.29%     4.63kB / 2.67kB   0B / 0B           7
a988b9699b02   dev-peer0.org2.example.com-drm-v0         0.00%     5.902MiB / 2GiB       0.29%     4.78kB / 2.81kB   0B / 0B           6
0dfe6abd1560   dev-peer0.org1.example.com-marbles-v0     3.49%     9.43MiB / 2GiB        0.46%     987kB / 337kB     0B / 0B           7
d4f36d3a3568   dev-peer0.org2.example.com-marbles-v0     3.16%     10.02MiB / 2GiB       0.49%     1.04MB / 343kB    0B / 0B           7
2107d2f58c8f   peer0.org2.example.com                    20.67%    172.6MiB / 7.761GiB   2.17%     2.81MB / 2.08MB   766kB / 1.66MB    13
3712cedc8005   peer0.org1.example.com                    20.72%    153.8MiB / 7.761GiB   1.94%     2.85MB / 3.35MB   29.7MB / 1.66MB   13
311c54469bf3   orderer0.example.com                      0.06%     24.84MiB / 7.761GiB   0.31%     1.14MB / 2.17MB   23.9MB / 2.37MB   11
2740b3ae91f1   couchdb.peer0.org2.example.com            18.06%    136.1MiB / 7.761GiB   1.71%     480kB / 374kB     4.78MB / 2.54MB   41
a10b4c8e3b3d   ca.org1.example.com                       0.00%     8.582MiB / 7.761GiB   0.11%     3.26kB / 5.89kB   631kB / 446kB     7
3bcdda778f36   couchdb.peer0.org1.example.com            18.98%    117.6MiB / 7.761GiB   1.48%     421kB / 359kB     26.2MB / 2.54MB   41
38cb3dc19b01   ca.org2.example.com                       0.00%     8.906MiB / 7.761GiB   0.11%     3.59kB / 5.91kB   19.5MB / 446kB    8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
ad8921bcc761   dev-peer0.org1.example.com-smallbank-v0   0.00%     6.094MiB / 2GiB       0.30%     3.95kB / 2.25kB   0B / 0B           7
2acdc7440876   dev-peer0.org2.example.com-smallbank-v0   0.00%     6.715MiB / 2GiB       0.33%     3.95kB / 2.25kB   0B / 0B           6
34414dc16213   dev-peer0.org2.example.com-simple-v0      0.00%     5.879MiB / 2GiB       0.29%     4.57kB / 2.59kB   0B / 0B           7
9bac18b16d22   dev-peer0.org1.example.com-simple-v0      0.00%     5.859MiB / 2GiB       0.29%     4.62kB / 2.71kB   0B / 0B           7
