CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
f350bf6a10c2   dev-peer0.org2.example.com-simple-v0      0.00%     5.871MiB / 2GiB       0.29%     4.37kB / 2.56kB   0B / 0B          7
2916ba1fe335   dev-peer0.org1.example.com-simple-v0      0.00%     5.953MiB / 2GiB       0.29%     4.57kB / 2.68kB   0B / 0B          7
c604c6d7ba4c   dev-peer0.org1.example.com-drm-v0         0.00%     5.91MiB / 2GiB        0.29%     4.76kB / 2.92kB   0B / 0B          7
eacd4cec3a12   dev-peer0.org2.example.com-drm-v0         0.00%     6.039MiB / 2GiB       0.29%     4.83kB / 2.76kB   0B / 0B          7
03f5d137b15c   dev-peer0.org1.example.com-marbles-v0     0.00%     9.254MiB / 2GiB       0.45%     1.72MB / 783kB    0B / 0B          7
8495a7dfa093   dev-peer0.org2.example.com-marbles-v0     0.00%     10.39MiB / 2GiB       0.51%     1.72MB / 771kB    0B / 0B          7
55c693e27f01   peer0.org2.example.com                    0.92%     206MiB / 7.761GiB     2.59%     7.44MB / 4.67MB   0B / 5.46MB      14
60a7d0f0447c   peer0.org1.example.com                    1.02%     206MiB / 7.761GiB     2.59%     7.51MB / 5.3MB    0B / 5.46MB      14
ca2f120233b1   orderer0.example.com                      0.05%     39.45MiB / 7.761GiB   0.50%     4.34MB / 8.33MB   0B / 8.63MB      11
a5121fcaceac   couchdb.peer0.org2.example.com            0.33%     60.76MiB / 7.761GiB   0.76%     1.1MB / 1.11MB    0B / 5.82MB      41
441c2c79ca9f   couchdb.peer0.org1.example.com            0.68%     58.45MiB / 7.761GiB   0.74%     1.09MB / 1.11MB   0B / 5.82MB      41
eef497725215   ca.org1.example.com                       0.00%     7.719MiB / 7.761GiB   0.10%     3.48kB / 5.89kB   123kB / 446kB    7
9e9554808b54   ca.org2.example.com                       0.00%     7.195MiB / 7.761GiB   0.09%     3.48kB / 5.89kB   12.3kB / 446kB   8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
57e42c30a492   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.992MiB / 2GiB       0.29%     4.25kB / 2.72kB   0B / 0B          7
