CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
7b717ceb1c9f   dev-peer0.org1.example.com-simple-v0      0.01%     5.93MiB / 2GiB        0.29%     4.47kB / 2.75kB   0B / 0B           7
7ef4eb5b47e1   dev-peer0.org2.example.com-simple-v0      0.01%     6.598MiB / 2GiB       0.32%     4.34kB / 2.49kB   0B / 0B           7
581495558d9e   dev-peer0.org1.example.com-drm-v0         0.00%     6.012MiB / 2GiB       0.29%     4.79kB / 2.85kB   0B / 0B           7
7e50ec8c6191   dev-peer0.org2.example.com-drm-v0         0.00%     5.977MiB / 2GiB       0.29%     4.57kB / 2.57kB   0B / 0B           7
08edc342b58a   dev-peer0.org2.example.com-marbles-v0     1.98%     6.918MiB / 2GiB       0.34%     1.29MB / 592kB    0B / 0B           7
fc30a6d7d8c9   dev-peer0.org1.example.com-marbles-v0     1.01%     7.664MiB / 2GiB       0.37%     1.29MB / 592kB    0B / 0B           7
575c3f450217   peer0.org2.example.com                    16.79%    197.7MiB / 7.761GiB   2.49%     5.44MB / 3.16MB   0B / 2.1MB        14
895434c2fb1f   peer0.org1.example.com                    15.50%    203.3MiB / 7.761GiB   2.56%     5.49MB / 3.81MB   0B / 2.09MB       15
0137fc3e7918   orderer0.example.com                      7.83%     33.72MiB / 7.761GiB   0.42%     3.27MB / 6.3MB    16.4kB / 6.57MB   11
c90787f93a5d   couchdb.peer0.org2.example.com            41.57%    47.12MiB / 7.761GiB   0.59%     620kB / 648kB     0B / 3.24MB       41
e160581ade6e   ca.org1.example.com                       0.00%     8.645MiB / 7.761GiB   0.11%     3.41kB / 5.94kB   0B / 446kB        8
fc96d82e2256   couchdb.peer0.org1.example.com            20.01%    50MiB / 7.761GiB      0.63%     552kB / 573kB     0B / 2.4MB        41
2994739737df   ca.org2.example.com                       0.00%     8.438MiB / 7.761GiB   0.11%     3.31kB / 5.94kB   0B / 446kB        7
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
eeb47751e0f9   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.934MiB / 2GiB       0.29%     4.18kB / 2.53kB   0B / 0B           7
38e68ce31561   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.965MiB / 2GiB       0.29%     3.95kB / 2.29kB   0B / 0B           7
7b717ceb1c9f   dev-peer0.org1.example.com-simple-v0      0.00%     5.93MiB / 2GiB        0.29%     4.54kB / 2.75kB   0B / 0B           7
7ef4eb5b47e1   dev-peer0.org2.example.com-simple-v0      0.00%     6.598MiB / 2GiB       0.32%     4.45kB / 2.53kB   0B / 0B           7
581495558d9e   dev-peer0.org1.example.com-drm-v0         0.00%     6.012MiB / 2GiB       0.29%     4.89kB / 2.96kB   0B / 0B           7
7e50ec8c6191   dev-peer0.org2.example.com-drm-v0         0.00%     5.977MiB / 2GiB       0.29%     4.72kB / 2.72kB   0B / 0B           7
08edc342b58a   dev-peer0.org2.example.com-marbles-v0     0.00%     6.918MiB / 2GiB       0.34%     1.29MB / 592kB    0B / 0B           7
fc30a6d7d8c9   dev-peer0.org1.example.com-marbles-v0     0.00%     7.664MiB / 2GiB       0.37%     1.29MB / 592kB    0B / 0B           7
575c3f450217   peer0.org2.example.com                    0.84%     199.3MiB / 7.761GiB   2.51%     5.65MB / 3.53MB   0B / 4.23MB       14
895434c2fb1f   peer0.org1.example.com                    0.98%     205.1MiB / 7.761GiB   2.58%     5.71MB / 4.18MB   0B / 4.23MB       15
0137fc3e7918   orderer0.example.com                      0.06%     33.72MiB / 7.761GiB   0.42%     3.27MB / 6.3MB    16.4kB / 6.57MB   11
c90787f93a5d   couchdb.peer0.org2.example.com            0.23%     49.9MiB / 7.761GiB    0.63%     827kB / 850kB     0B / 4.99MB       41
e160581ade6e   ca.org1.example.com                       0.00%     8.645MiB / 7.761GiB   0.11%     3.41kB / 5.94kB   0B / 446kB        8
fc96d82e2256   couchdb.peer0.org1.example.com            2.27%     51.28MiB / 7.761GiB   0.65%     826kB / 852kB     0B / 4.99MB       41
2994739737df   ca.org2.example.com                       0.00%     8.438MiB / 7.761GiB   0.11%     3.31kB / 5.94kB   0B / 446kB        7
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
eeb47751e0f9   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.934MiB / 2GiB       0.29%     4.18kB / 2.53kB   0B / 0B           7
38e68ce31561   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.965MiB / 2GiB       0.29%     3.95kB / 2.29kB   0B / 0B           7
7b717ceb1c9f   dev-peer0.org1.example.com-simple-v0      0.00%     5.93MiB / 2GiB        0.29%     4.61kB / 2.81kB   0B / 0B           7
7ef4eb5b47e1   dev-peer0.org2.example.com-simple-v0      0.00%     6.598MiB / 2GiB       0.32%     4.52kB / 2.6kB    0B / 0B           7
581495558d9e   dev-peer0.org1.example.com-drm-v0         0.00%     6.012MiB / 2GiB       0.29%     4.94kB / 3kB      0B / 0B           7
7e50ec8c6191   dev-peer0.org2.example.com-drm-v0         0.00%     5.977MiB / 2GiB       0.29%     4.72kB / 2.72kB   0B / 0B           7
08edc342b58a   dev-peer0.org2.example.com-marbles-v0     0.00%     8.117MiB / 2GiB       0.40%     1.6MB / 643kB     0B / 0B           7
fc30a6d7d8c9   dev-peer0.org1.example.com-marbles-v0     0.00%     8.07MiB / 2GiB        0.39%     1.6MB / 642kB     0B / 0B           7
575c3f450217   peer0.org2.example.com                    0.78%     200.4MiB / 7.761GiB   2.52%     6.07MB / 4MB      0B / 4.23MB       14
895434c2fb1f   peer0.org1.example.com                    0.81%     206MiB / 7.761GiB     2.59%     6.16MB / 5.27MB   0B / 4.23MB       15
0137fc3e7918   orderer0.example.com                      0.05%     33.72MiB / 7.761GiB   0.42%     3.27MB / 6.3MB    16.4kB / 6.57MB   11
c90787f93a5d   couchdb.peer0.org2.example.com            87.45%    210.8MiB / 7.761GiB   2.65%     949kB / 885kB     0B / 4.99MB       41
e160581ade6e   ca.org1.example.com                       0.00%     8.645MiB / 7.761GiB   0.11%     3.41kB / 5.94kB   0B / 446kB        8
fc96d82e2256   couchdb.peer0.org1.example.com            105.94%   215.7MiB / 7.761GiB   2.71%     947kB / 887kB     0B / 4.99MB       41
2994739737df   ca.org2.example.com                       0.00%     8.438MiB / 7.761GiB   0.11%     3.31kB / 5.94kB   0B / 446kB        7
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
eeb47751e0f9   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.934MiB / 2GiB       0.29%     4.33kB / 2.68kB   0B / 0B           7
38e68ce31561   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.965MiB / 2GiB       0.29%     4.01kB / 2.36kB   0B / 0B           7
7b717ceb1c9f   dev-peer0.org1.example.com-simple-v0      0.00%     5.93MiB / 2GiB        0.29%     4.65kB / 2.85kB   0B / 0B           7
7ef4eb5b47e1   dev-peer0.org2.example.com-simple-v0      0.00%     6.598MiB / 2GiB       0.32%     4.52kB / 2.6kB    0B / 0B           7
581495558d9e   dev-peer0.org1.example.com-drm-v0         0.13%     6.055MiB / 2GiB       0.30%     5.11kB / 3.17kB   0B / 0B           7
7e50ec8c6191   dev-peer0.org2.example.com-drm-v0         0.12%     6.023MiB / 2GiB       0.29%     4.9kB / 2.9kB     0B / 0B           7
08edc342b58a   dev-peer0.org2.example.com-marbles-v0     0.00%     8.117MiB / 2GiB       0.40%     1.6MB / 643kB     0B / 0B           7
fc30a6d7d8c9   dev-peer0.org1.example.com-marbles-v0     0.00%     8.07MiB / 2GiB        0.39%     1.6MB / 642kB     0B / 0B           7
575c3f450217   peer0.org2.example.com                    3.04%     201.4MiB / 7.761GiB   2.53%     8.54MB / 4.14MB   0B / 4.23MB       14
895434c2fb1f   peer0.org1.example.com                    2.66%     207MiB / 7.761GiB     2.61%     8.78MB / 5.42MB   0B / 4.23MB       15
0137fc3e7918   orderer0.example.com                      0.06%     33.72MiB / 7.761GiB   0.42%     3.27MB / 6.3MB    16.4kB / 6.57MB   11
c90787f93a5d   couchdb.peer0.org2.example.com            94.04%    298.7MiB / 7.761GiB   3.76%     1.09MB / 3.35MB   0B / 5.23MB       41
e160581ade6e   ca.org1.example.com                       0.00%     8.645MiB / 7.761GiB   0.11%     3.41kB / 5.94kB   0B / 446kB        8
fc96d82e2256   couchdb.peer0.org1.example.com            94.08%    289.5MiB / 7.761GiB   3.64%     1.09MB / 3.51MB   0B / 5.22MB       41
2994739737df   ca.org2.example.com                       0.00%     8.438MiB / 7.761GiB   0.11%     3.31kB / 5.94kB   0B / 446kB        7
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
eeb47751e0f9   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.934MiB / 2GiB       0.29%     4.33kB / 2.68kB   0B / 0B           7
38e68ce31561   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.965MiB / 2GiB       0.29%     4.01kB / 2.36kB   0B / 0B           7
7b717ceb1c9f   dev-peer0.org1.example.com-simple-v0      0.00%     5.93MiB / 2GiB        0.29%     4.72kB / 2.92kB   0B / 0B           7
7ef4eb5b47e1   dev-peer0.org2.example.com-simple-v0      0.00%     6.598MiB / 2GiB       0.32%     4.58kB / 2.67kB   0B / 0B           7
581495558d9e   dev-peer0.org1.example.com-drm-v0         0.00%     6.055MiB / 2GiB       0.30%     5.11kB / 3.17kB   0B / 0B           7
