CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
9889dede865f   peer0.org1.example.com           70.90%    96.79MiB / 7.761GiB   1.22%     71.9kB / 33kB     0B / 180kB       10
fb91c7acaf9e   peer0.org2.example.com           66.80%    94.5MiB / 7.761GiB    1.19%     70.7kB / 32.9kB   65.5kB / 180kB   10
dd4145f2a3a1   orderer0.example.com             0.05%     14.55MiB / 7.761GiB   0.18%     15.3kB / 24.2kB   0B / 123kB       10
dc8dc2b656c6   couchdb.peer0.org2.example.com   0.39%     37.68MiB / 7.761GiB   0.47%     23.9kB / 22kB     0B / 762kB       41
fbb27627880d   ca.org1.example.com              0.00%     8.547MiB / 7.761GiB   0.11%     3.47kB / 5.94kB   0B / 446kB       8
df19ad22abab   couchdb.peer0.org1.example.com   0.98%     37.94MiB / 7.761GiB   0.48%     24.4kB / 22.5kB   0B / 762kB       41
95c9653e93fa   ca.org2.example.com              0.00%     8.09MiB / 7.761GiB    0.10%     3.09kB / 5.94kB   20.5kB / 446kB   7
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
13248d628f8c   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.926MiB / 2GiB       0.29%     3.77kB / 2.18kB   0B / 0B          7
5d514ef6f526   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.699MiB / 2GiB       0.28%     3.93kB / 2.24kB   0B / 0B          6
0bf2470fb71e   dev-peer0.org1.example.com-simple-v0      0.00%     5.949MiB / 2GiB       0.29%     4.16kB / 2.45kB   0B / 0B          7
0f1f3b2d46c5   dev-peer0.org2.example.com-simple-v0      0.00%     5.797MiB / 2GiB       0.28%     4.41kB / 2.77kB   0B / 0B          7
4a06876bd42a   dev-peer0.org2.example.com-drm-v0         0.00%     6.012MiB / 2GiB       0.29%     4.69kB / 2.72kB   0B / 0B          6
5b10392d523d   dev-peer0.org1.example.com-drm-v0         0.00%     5.781MiB / 2GiB       0.28%     4.62kB / 2.76kB   0B / 0B          7
8f6802f55067   dev-peer0.org2.example.com-marbles-v0     0.00%     5.977MiB / 2GiB       0.29%     16.7kB / 9.88kB   0B / 0B          7
0397ad43a146   dev-peer0.org1.example.com-marbles-v0     0.00%     5.762MiB / 2GiB       0.28%     16.4kB / 9.56kB   0B / 0B          6
a3022325ecf6   peer0.org2.example.com                    0.86%     184MiB / 7.761GiB     2.32%     206kB / 129kB     0B / 324kB       10
75ba6bca2bee   peer0.org1.example.com                    0.91%     148.9MiB / 7.761GiB   1.87%     261kB / 780kB     0B / 324kB       10
f46882b44615   orderer0.example.com                      0.06%     8.562MiB / 7.761GiB   0.11%     68.9kB / 127kB    41kB / 262kB     11
9d65a08f8237   couchdb.peer0.org2.example.com            0.62%     40.75MiB / 7.761GiB   0.51%     49.6kB / 56.1kB   0B / 1.22MB      41
84792aaae7cd   ca.org1.example.com                       0.00%     8.52MiB / 7.761GiB    0.11%     3.75kB / 5.94kB   90.1kB / 446kB   9
80ed15a49a26   couchdb.peer0.org1.example.com            0.53%     40.56MiB / 7.761GiB   0.51%     50.7kB / 62.5kB   0B / 1.22MB      41
14f6341c0814   ca.org2.example.com                       0.00%     8.387MiB / 7.761GiB   0.11%     3.24kB / 5.93kB   0B / 446kB       8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
13248d628f8c   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.926MiB / 2GiB       0.29%     3.77kB / 2.18kB   0B / 0B          7
5d514ef6f526   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.746MiB / 2GiB       0.28%     3.93kB / 2.24kB   0B / 0B          7
0bf2470fb71e   dev-peer0.org1.example.com-simple-v0      0.00%     5.949MiB / 2GiB       0.29%     4.16kB / 2.45kB   0B / 0B          7
0f1f3b2d46c5   dev-peer0.org2.example.com-simple-v0      0.01%     5.797MiB / 2GiB       0.28%     4.48kB / 2.77kB   0B / 0B          7
4a06876bd42a   dev-peer0.org2.example.com-drm-v0         0.00%     6.012MiB / 2GiB       0.29%     4.73kB / 2.76kB   0B / 0B          6
5b10392d523d   dev-peer0.org1.example.com-drm-v0         0.00%     5.781MiB / 2GiB       0.28%     4.69kB / 2.82kB   0B / 0B          7
8f6802f55067   dev-peer0.org2.example.com-marbles-v0     0.00%     5.977MiB / 2GiB       0.29%     16.7kB / 9.88kB   0B / 0B          7
0397ad43a146   dev-peer0.org1.example.com-marbles-v0     0.00%     5.762MiB / 2GiB       0.28%     16.4kB / 9.56kB   0B / 0B          6
