CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
f835099d2a5f   dev-peer0.org2.example.com-drm-v0         0.00%     7.965MiB / 2GiB       0.39%     4.84kB / 2.9kB    0B / 0B         7
6fde393c056f   dev-peer0.org1.example.com-marbles-v0     0.00%     10.65MiB / 2GiB       0.52%     1.49MB / 494kB    0B / 0B         7
b6b868ba65ad   dev-peer0.org2.example.com-marbles-v0     0.00%     10.73MiB / 2GiB       0.52%     1.5MB / 505kB     0B / 0B         7
6bb104f8ce95   peer0.org1.example.com                    8.10%     207.8MiB / 7.761GiB   2.61%     5.7MB / 4.69MB    0B / 3MB        13
6e91a7bbccde   peer0.org2.example.com                    5.03%     183.1MiB / 7.761GiB   2.30%     5.64MB / 3.43MB   0B / 3MB        14
938ea455601a   orderer0.example.com                      0.05%     30.21MiB / 7.761GiB   0.38%     2.22MB / 4.24MB   0B / 4.49MB     10
dc2f7c528ccf   couchdb.peer0.org1.example.com            91.28%    393.2MiB / 7.761GiB   4.95%     908kB / 1.6MB     0B / 3.87MB     41
3d5780825209   couchdb.peer0.org2.example.com            89.19%    386.7MiB / 7.761GiB   4.87%     906kB / 1.6MB     0B / 3.87MB     41
f249c28e8910   ca.org2.example.com                       0.00%     8.32MiB / 7.761GiB    0.10%     3.64kB / 5.94kB   221kB / 451kB   7
b57a63863c63   ca.org1.example.com                       0.00%     8.289MiB / 7.761GiB   0.10%     3.59kB / 5.89kB   0B / 446kB      8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
3645df11fd05   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.879MiB / 2GiB       0.29%     4.41kB / 2.54kB   0B / 0B         6
b0b1c84cb1ec   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.746MiB / 2GiB       0.28%     4.11kB / 2.38kB   0B / 0B         7
